,Unnamed: 0,Text,Type
0,0,we wish celebrating peaceful joyous kwanzaa,0
1,1,this christmas jill i honored thank brave men women uniform sacrifices time year theyre away families protect and thanks grateful indebted president,0
2,2,from entire biden family merry christmas america,0
3,3,just finishing touches hope loved ones having great christmas eve,0
4,4,twas night christmas,0
5,5,rt flotus earlier year stjude welcomed ukrainian children cancer united states continue care shortly t,0
6,6,there certain stillness center christmas story silent night world goes quiet and clamor divides fades away stillness winters evening i wish peace christmas eve,0
7,7,this christmas season hope moments quiet reflection really look not democrats republicans but really fellow americans,0
8,8,the bipartisan omnibus passed great news economy capping year historic bipartisan progress american people this proof republicans democrats come deliver families im ready sign law,0
9,9,in lowered prescription drug prices health care premiums energy costsand didnt skip beat making progress addressing greatest challenges time like scourge gun violence threat climate change,0
10,10,this hanukkah let celebrate rededicate spirit resilience unity permanence,0
11,11,the average gas price cents levels russia invaded ukraine all increases beginning russias attack wiped,0
12,12,well remember year made america reality,0
13,13,ukraine ukrainian people dont just inspire inspire world it honor host president zelenskyy white house,0
14,14,going strong,0
15,15,today learned incomes inflation welcome breathing room economy growing another reason optimism head holidays new year,0
16,16,this christmas youll pay tank home did time year,0
17,17,i ran office rebuild middle class grow economy middle outas look look lies ahead i honestly say ive confident american people american economy achieve,0
18,18,as president i took action rein ghost guns traffickers dealers signed major gun safety law decades helping guns dangerous hands investing combat gun violencenow its time ban assault weapons,0
19,19,that allconsuming lifealtering love commitment thats marriage and weve guaranteed americans,0
20,20,our work strengthen supply chains paying lower costs stocked shelves presents arriving timewere making progress season years ahead,0
21,21,taking,0
22,22,weve delivered free masks free tests free vaccines on watch americans arent facing covid,0
23,23,our economy growing strong rateunemployment nearrecord lowand inflation gas prices coming downall rebuilding infrastructure supply chains manufacturing homereasons optimism new year,0
24,24,tune i deliver christmas address focused unites americans optimism year ahead,0
25,25,earlier i gathered team briefing extreme cold storms seeing americai urge follow warnings local officials information i stand ready help communities theyll need,0
26,26,tonight fourth night hanukkah honor timeless miracle small band warriors fighting values larger foethat story resilience reminds ukraine even darkest days year light prevail,0
27,27,what president zelenskyy people ukraine achieved matters entire world together united states ukraine flame liberty burning bright that light prevail darkness,0
28,28,today marks days putin launched assault free people ukraine today marks days ukrainian people showing russia world iron backbone love country unbreakable determination choose path,0
29,29,i honor sitting president zelenskyy ukraineweve communication war meaningful speak person i told president zelenskyy united states committed supporting ukrainian people long takes,0
30,30,in ukraines fight russias unprovoked unjustified war im proud say stood aloneand watch,0
31,31,today im announcing tranche security assistance ukrainea billion package includes equipment ammunition contracts and patriot missile battery train forces operate efforts strengthen ukrainian air defense,0
32,32,join president volodymyr zelenskyy hold joint press conference,0
33,33,america welcomes mr president,0
34,34,franco harris known glory brought football but i knew character compassion spent time boys lost wife infant daughter may god bless franco harris dear friend years great american,0
35,35,together administration created manufacturing jobs nearly years were building factories making products allow america lead way manufacturing,0
36,36,thanks administrations investment infrastructure projects announced underway country yearand reach projects,0
37,37,i hope youre having good flightvolodymyr im thrilled much discuss,0
38,38,last night jill i honored mark new tradition lighting permanent white house menorah jewish artifact entire white house collection,0
39,39,electric vehicles future they require thousands microchips single vehicle america making semiconductors just strengthen supply chains but ensure clean energy economy right home,0
40,40,got great question andy night,0
41,41,because investments american manufacturing companies country expanding building new factories make electric vehicle batteries chargers the folks responsible constructing new factories worldclass highskilled union workers,0
42,42,i promised tackle spike prices pump caused putins war since weve led world oil releases rallying global partners release oil now gas prices cheapest levels june and im,0
43,43,in days office set uss firstever national conservation goal america beautiful initiative the world following lead safeguard global lands waters this momentous nature people planet,0
44,44,president lasso ecuador i united not values shared vision future thats free democratic,0
45,45,because administrations economic investments us economy,0
