,Text,Type
0,"We wish all those celebrating a peaceful, joyous Kwanzaa. https://t.co/m1AZvzPcSB",Not a bot
1,"This Christmas, Jill and I were honored to thank a few brave men and women in uniform for their sacrifices this time of year.
 
They're away from their families to protect us. And they have the thanks of a grateful, indebted president. https://t.co/7sIF8qwMRk",Not a bot
2,"From the entire Biden family to yours: Merry Christmas, America.",Not a bot
3,Just a few finishing touches! Hope you and your loved ones are having a great Christmas Eve. https://t.co/zdCjjRrI9o,Not a bot
4,‘Twas the night before Christmas. https://t.co/LnfZHtuqRc,Not a bot
5,"RT @FLOTUS: Earlier this year, @StJude welcomed Ukrainian children with cancer to the United States to continue their care. Shortly after t…",Not a bot
6,"There is a certain stillness at the center of the Christmas story: a silent night when all the world goes quiet.
 
And all the clamor, everything that divides us, fades away in the stillness of a winter’s evening.
 
I wish you that peace this Christmas Eve.",Not a bot
7,"This Christmas season, my hope is that we take a few moments of quiet reflection to really look at one another.
 
Not as Democrats or Republicans.
 
But as who we really are: fellow Americans.",Not a bot
8,"The bipartisan omnibus bill has passed – great news for our economy, capping off a year of historic bipartisan progress for the American people.
 
This bill is proof that Republicans and Democrats can come together to deliver for families. I'm ready to sign it into law.",Not a bot
9,"In 2022, we lowered prescription drug prices, health care premiums, and energy costs.

And we didn't skip a beat in making progress addressing some of the greatest challenges of our time, like the scourge of gun violence and the threat of climate change.",Not a bot
10,"This Hanukkah, let us celebrate and re-dedicate ourselves to the spirit of resilience, unity, and permanence. https://t.co/TMfg0o5CTx",Not a bot
11,"The average gas price is now 44 cents below levels when Russia invaded Ukraine.
 
All the increases since the beginning of Russia’s attack have been wiped out.",Not a bot
12,We'll remember 2022 as the year Made in America became reality again.,Not a bot
13,"Ukraine and the Ukrainian people don’t just inspire us – they inspire the world. 

It was an honor to host President Zelenskyy at the White House. https://t.co/lzxd40Ervv",Not a bot
14,Going into 2023 strong. https://t.co/KmOGzEDOnR,Not a bot
15,"Today we learned that incomes are up and inflation is down. Welcome breathing room as our economy has been growing.
 
Another reason for optimism as we head into the holidays and the new year. https://t.co/WzCpCNvjI5",Not a bot
16,"This Christmas, you'll pay less to fill up your tank and get home than you did this time last year.",Not a bot
17,"I ran for office to rebuild the middle class and grow the economy from the bottom up and the middle out.

As we look back on 2022 and look to what lies ahead, I can honestly say I've never been more confident about what the American people and the American economy can achieve. https://t.co/ajpgqWyJ0m",Not a bot
18,"As president, I took action to rein in ghost guns, traffickers, and dealers, and signed the first major gun safety law in three decades – helping keep guns out of dangerous hands and investing to combat gun violence.

Now, It's time we ban assault weapons.",Not a bot
19,"That all-consuming, life-altering love and commitment – that’s marriage.
 
And we’ve guaranteed it for all Americans. https://t.co/jLvhAoA8sC",Not a bot
20,"Our work to strengthen our supply chains is paying off with lower costs, stocked shelves, and more presents arriving on time.

We’re making progress this season, and for years ahead.",Not a bot
21,Taking it all in. https://t.co/CcU7DnNY1v,Not a bot
22,"We've delivered free masks, free tests, and free vaccines.
 
On my watch, Americans aren't facing COVID alone.",Not a bot
23,"Our economy is growing at a strong 3.2% rate.
Unemployment is at a near-record low.
And inflation and gas prices are coming down.

All while rebuilding our infrastructure, supply chains, and manufacturing here at home.

Reasons for optimism as we move into the new year. https://t.co/TeUrVdI2L9",Not a bot
24,Tune in as I deliver a Christmas address focused on what unites us as Americans and my optimism for the year ahead. https://t.co/4fIeG8dYSK,Not a bot
25,"Earlier, I gathered my team for a briefing on the extreme cold and storms we’re seeing across America.

I urge everyone to follow the warnings of local officials – go to https://t.co/VsGFYDDJSt for more information. I stand ready to help communities with whatever they'll need. https://t.co/eLEi2VoF8b",Not a bot
